,close,date,high,low,open,quoteVolume,volume,weightedAverage
3510,412.5996,1449640800,423.99999984,405,421.00000095,8.07557253,3339.28148502,413.50399276
3511,411.2129,1449648000,420,411.2129,420,0.7995509,331.83573553,415.02765557
3512,426.99999993,1449655200,426.99999993,420.000001,420.000001,0.99834644,421.81718433,422.51583962
3513,417.0000011,1449662400,423.4,415.000001,421.00003431,1.41263623,595.09736554,421.26723986
3514,418.1,1449669600,426.98,418.00000001,426.89999999,3.70847188,1580.25803922,426.12107907
3515,408.10000017,1449676800,420,404.48500505,418,9.37453995,3858.92821768,411.63920984
3516,408.10000017,1449684000,408.10000017,408.10000017,408.10000017,0,0,408.10000017
3517,412.00000605,1449691200,412.00000605,412.000001,412.000001,0.06505616,26.80313828,412.00000557
3518,421.9999999,1449698400,421.9999999,413,413,1.00110735,422.18392589,421.71693764
3519,416,1449705600,420.51425536,414.00002422,420.51425536,0.29536859,123.85725432,419.33116289
3520,421.99999997,1449712800,421.99999997,420.99999999,420.99999999,0.02453507,10.33379953,421.18484029
3521,417,1449720000,421.99999999,417,417,0.69865601,294.45274766,421.45597182
3522,416,1449727200,417,410.000021,417,1.75666476,722.17362156,411.10497461
3523,411.0021726,1449734400,415,411.00028568,411.00028568,0.00127943,0.52962903,413.95702268
3524,419.00000001,1449741600,420.5,412.00003431,412.00003431,0.04564475,19.11739727,418.83014534
3525,421.5,1449748800,421.5,412.00015746,412.1,0.14299714,59.72407635,417.6592368
3526,412.00016001,1449756000,422,412.00015746,422,3.06608437,1263.5140483,412.09369861
3527,412.00015745,1449763200,420.00000001,412.00015745,414.47216097,1.09848113,452.68545602,412.10125842
3528,416,1449770400,419.99999991,416,419.99999991,5.14151551,2145.84229958,417.35599073
3529,420.50749967,1449777600,423.7,416.00000001,418.49599979,1.47146577,615.07784226,418.00350018
3530,425.17679999,1449784800,425.17679999,417,417,0.20545238,86.67389816,421.86855252
3531,423.29086246,1449792000,423.67694319,420,420.00000027,1.78699082,754.31510079,422.11470386
3532,426.06719872,1449799200,426.06719873,418.63267478,423.6769432,0.10687746,45.32733274,424.10563222
3533,426.20039983,1449806400,428.75878953,420.00009526,424.08000031,3.65982032,1540.9758375,421.05232026
3534,426.20039983,1449813600,426.20039983,426.20039983,426.20039983,0,0,426.20039983
3535,435.43320212,1449820800,435.43320214,424.99,424.99,2.90294399,1249.27191203,430.34654348
3536,434.00000007,1449828000,442.21903195,429.89259084,431.43320207,2.96937395,1280.91473119,431.37535142
3537,430.25497765,1449835200,434.00000007,430.25497737,434.00000006,1.01441814,440.24494221,433.98764754
3538,434.00000003,1449842400,434.00000006,428.84754001,433.60000001,0.6391026,275.56834632,431.18013652
3539,437.31838027,1449849600,437.31838027,429.37986,429.37986012,7.32707388,3179.45925752,433.93301467
3540,445.99999993,1449856800,450.0101,433.53243337,437.31838015,22.67994243,10167.39821106,448.29911903
3541,448.101,1449864000,456.65800001,442,445.99999986,4.06652629,1824.23059539,448.59677899
3542,452.70000009,1449871200,452.70000009,444.34249201,448.101,4.24249966,1899.44627955,447.71866394
3543,460.79999999,1449878400,460.79999999,442,445.79596711,7.68311442,3471.56796088,451.84384497
3544,466.37998298,1449885600,468,451.61828,451.61828,2.85747913,1315.00936639,460.19911487
3545,421.93926242,1449892800,467.99999993,405.66284539,466.37998499,17.1162681,7366.12637946,430.35820287
3546,424.5,1449900000,428.82973067,408.56041213,418.37099897,10.94058792,4521.32197668,413.26133565
3547,419.99999993,1449907200,424.49999993,418.000001,424.49999993,1.58107235,664.31576126,420.16784448
3548,425.36802987,1449914400,434.84977196,419.99999993,419.99999993,2.19076681,939.1132444,428.66873832
3549,420.55466006,1449921600,428.58640978,420.05466006,427.72152746,9.58558401,4065.230616,424.09837645
3550,422.00016587,1449928800,429.20398997,420.0547835,420.0547835,1.41601728,596.62372555,421.33929718
3551,422.00048098,1449936000,426.99999993,422.00019514,422.00019514,0.13024062,55.07236609,422.85092085
3552,423.200003,1449943200,426.99999993,423.00000624,426.99999993,0.92562512,391.7811638,423.26116193
3553,427.95961998,1449950400,428.99999996,425.99999993,425.99999993,0.58152457,249.08587757,428.33250807
3554,430.15422975,1449957600,432.99000001,423.25,424.9596285,1.71841377,738.79158093,429.92647861
3555,430.15422975,1449964800,430.15422975,430.15422975,430.15422975,0,0,430.15422975
3556,429.72505276,1449972000,432.98899999,427.86722266,427.86722266,0.36438757,156.78704894,430.27551391
3557,426.44485925,1449979200,429.57906781,423.25,429.57906781,2.16305466,918.55790026,424.65773854
3558,426.44486024,1449986400,426.44486024,426.44485986,426.44485986,0.5538582,236.18998255,426.44485998
3559,432.98889997,1449993600,432.98899999,432.000001,432.98899999,2.08241857,900.38494701,432.37462438
3560,432.98899998,1450000800,432.98899998,428.76331022,432.98889997,0.98231877,422.96236419,430.57546807
3561,435,1450008000,435,428.92589766,428.92589766,0.5854697,254.19740301,434.17687202
3562,437.50001107,1450015200,443.91092156,431.41022119,431.41022119,4.04255079,1787.39288342,442.14481803
